Name,2016,2017,2018,2019,2020,2021
"Abilene, TX",3.9,3.7,3.3,3,5.6,3.9
"Akron, OH",5.1,5.1,4.6,4.3,8,4.8
"Albany, GA",6.3,5.5,5,4.3,7.2,3.3
"Albany-Lebanon, OR",5.6,4.7,4.6,4.3,7.8,4.6
"Albany-Schenectady-Troy, NY",4.2,4.3,3.8,3.5,7.2,3.9
"Albuquerque, NM",6.1,5.6,4.7,4.7,8.2,5.5
"Alexandria, LA",6.3,5.7,5.3,5,6.3,3.4
"Allentown-Bethlehem-Easton, PA-NJ",5.2,5,4.6,4.5,9.2,5.5
"Altoona, PA",5.2,4.9,4.4,4.6,8.7,5.1
"Amarillo, TX",3.1,3,2.8,2.5,4.9,3.4
"Ames, IA",2.3,2,1.6,1.8,3.6,2.1
"Anchorage, AK",5.9,6,5.4,4.8,7.6,5
"Ann Arbor, MI",3.7,3.5,3.1,2.8,6.4,3.6
"Anniston-Oxford, AL",6.6,5.1,4.6,3.6,7.1,3.6
"Appleton, WI",3.4,3,2.8,2.9,5.3,2.6
"Asheville, NC",4.1,3.6,3.2,3.1,7.8,3.2
"Athens-Clarke County, GA",5.2,4.5,3.8,3.4,5.6,2.1
"Atlanta-Sandy Springs-Alpharetta, GA",5.2,4.6,3.9,3.4,6.9,2.5
"Atlantic City-Hammonton, NJ",7.4,7.1,5.7,4.9,17.8,8.9
"Auburn-Opelika, AL",5.2,4.1,3.6,2.8,5.2,2.5
"Augusta-Richmond County, GA-SC",5.7,4.9,4.2,3.7,5.8,2.8
"Austin-Round Rock-Georgetown, TX",3.3,3.2,3,2.7,6.2,3.5
"Bakersfield, CA",10.4,9.3,8.1,7.9,12.5,8.7
"Baltimore-Columbia-Towson, MD",4.4,4.2,3.9,3.5,6.6,5.3
"Bangor, ME",3.8,3.5,3.2,2.7,5.1,3.8
"Barnstable Town, MA",4.8,4.6,4.2,3.8,10,5.4
"Baton Rouge, LA",5.2,4.5,4.3,4.3,7.4,4.2
"Battle Creek, MI",4.8,4.9,4.2,4,9.7,5.3
"Bay City, MI",5.5,5.5,4.8,4.5,9.2,4.7
"Beaumont-Port Arthur, TX",6.8,7.2,6.1,5.5,11.2,8
"Beckley, WV",7.3,5.7,5.6,5,9.3,3.4
"Bellingham, WA",5.7,4.9,4.7,5,9.3,4
"Bend, OR",4.8,4.2,4.1,3.9,7.9,4
"Billings, MT",3.8,3.6,3.4,3.3,5.5,1.9
"Binghamton, NY",5.5,5.5,4.8,4.4,8.5,4.4
"Birmingham-Hoover, AL",5.5,4.2,3.5,2.7,5.5,2.7
"Bismarck, ND",2.8,2.7,2.7,2.5,4.5,2.3
"Blacksburg-Christiansburg, VA",4.6,4.2,3.1,2.9,5.6,2.8
"Bloomington, IL",5.1,4.2,4.2,3.6,6.8,4
"Bloomington, IN",4.7,3.7,3.6,3.3,5.6,2.8
"Bloomsburg-Berwick, PA",5.2,5,4.6,4.6,7.7,4.5
"Boise City, ID",3.5,3.1,2.7,2.6,5.6,2.2
"Boston-Cambridge-Newton, MA-NH",3.6,3.5,3.1,2.7,8.5,4.8
"Boulder, CO",2.6,2.2,2.6,2.3,6.2,3.6
"Bowling Green, KY",4.1,4.2,3.8,3.9,6.5,3.5
"Bremerton-Silverdale-Port Orchard, WA",5.5,4.8,4.6,4.5,7.7,3.4
"Bridgeport-Stamford-Norwalk, CT",4.8,4.4,3.9,3.6,8.1,5.6
"Brownsville-Harlingen, TX",7.2,7,6.2,5.5,10.2,7.3
"Brunswick, GA",5.6,5,3.9,3.6,6.5,2.3
"Buffalo-Cheektowaga, NY",5.2,5.3,4.6,4.2,9.7,4.7
"Burlington, NC",4.7,4.3,3.8,3.7,7.2,3.8
"Burlington-South Burlington, VT",2.5,2.4,2.1,1.8,4.9,1.8
"California-Lexington Park, MD",4.1,3.9,3.7,3.3,4.8,4.5
"Canton-Massillon, OH",5.6,5.2,4.9,4.6,8.1,4.8
"Cape Coral-Fort Myers, FL",4.7,4.1,3.5,3.3,7.3,4
"Cape Girardeau, MO-IL",4.7,3.8,3.1,3.2,5.4,2.4
"Carbondale-Marion, IL",5.8,4.8,4.8,3.9,8.2,4.8
"Carson City, NV",6.2,5,4.6,3.9,8.2,3.9
"Casper, WY",7.2,5.4,4.6,4,7.8,3.7
"Cedar Rapids, IA",3.7,3.3,2.9,3,6.2,3.5
"Chambersburg-Waynesboro, PA",5.1,4.5,3.8,3.9,7.6,4.3
"Champaign-Urbana, IL",5,4.3,4.3,3.6,6.4,4.1
"Charleston, WV",5.9,5.3,5.3,4.8,9.1,3.4
"Charleston-North Charleston, SC",4.2,3.6,2.9,2.3,6,2.9
"Charlotte-Concord-Gastonia, NC-SC",4.8,4.3,3.8,3.5,7.3,3.6
"Charlottesville, VA",3.5,3.3,2.7,2.4,5.7,3
"Chattanooga, TN-GA",4.9,3.9,3.5,3.3,6.5,2.9
"Cheyenne, WY",4.2,3.8,3.9,3.5,5.1,2.5
"Chicago-Naperville-Elgin, IL-IN-WI",5.8,4.9,4.2,3.9,9.9,5.8
"Chico, CA",6.6,5.8,5.1,5.2,9.2,5.7
"Cincinnati, OH-KY-IN",4.4,4.3,3.9,3.7,7,4.1
"Clarksville, TN-KY",5.3,4.6,4.2,4.2,7.6,4.1
"Cleveland, TN",4.6,3.7,3.6,3.5,6.7,3.3
"Cleveland-Elyria, OH",5.4,5.6,4.7,4.1,9.7,4.4
"Coeur d'Alene, ID",4.5,3.8,3.4,3.4,6.9,2.5
"College Station-Bryan, TX",3.6,3.3,3,2.8,5.5,3.9
"Colorado Springs, CO",3.6,3,3.6,3.2,7.3,4.8
"Columbia, MO",3.3,2.6,2.3,2.4,4.2,1.8
"Columbia, SC",4.5,4,3.3,2.6,5.3,3
"Columbus, GA-AL",6.4,5.5,4.7,4.1,6.8,3.1
"Columbus, IN",3.3,2.7,2.6,2.4,6.5,2.7
"Columbus, OH",4.2,4.1,3.9,3.6,7,4.3
"Corpus Christi, TX",5.9,5.9,5,4.3,9.1,6.4
"Corvallis, OR",3.9,3.2,3.1,3,5.6,3.3
"Crestview-Fort Walton Beach-Destin, FL",4.1,3.6,3.1,2.9,5.6,3.3
"Cumberland, MD-WV",6,5.6,5.4,5.3,7.7,5
"Dallas-Fort Worth-Arlington, TX",3.9,3.7,3.6,3.3,7.1,4.4
"Dalton, GA",6.5,5.7,5,4.7,7.3,2.5
"Danville, IL",7.3,6.5,6.1,4.9,8.8,5.6
"Daphne-Fairhope-Foley, AL",5.4,4.2,3.6,2.8,5.6,2.4
"Davenport-Moline-Rock Island, IA-IL",5.4,4.4,4.2,4.1,7.9,4.1
"Dayton-Kettering, OH",4.8,4.7,4.3,4.1,7.9,4.8
"Decatur, AL",5.8,4.4,3.6,2.7,4.6,2.3
"Decatur, IL",6.6,5.5,5.5,5,9.9,6.9
"Deltona-Daytona Beach-Ormond Beach, FL",5.2,4.5,3.9,3.7,7.6,4.3
"Denver-Aurora-Lakewood, CO",3,2.5,2.9,2.6,7.5,4.8
"Des Moines-West Des Moines, IA",3.3,2.9,2.5,2.7,5.5,2.9
"Detroit-Warren-Dearborn, MI",5.2,4.5,4.3,4.4,11.7,2.9
"Dothan, AL",5.9,4.6,4.1,3.1,5.1,2.8
"Dover, DE",4.9,4.8,4.1,4.1,8.6,5.6
"Dubuque, IA",3.5,3,2.5,2.7,5.9,2.9
"Duluth, MN-WI",5.6,4.6,3.9,4,7.5,3.1
"Durham-Chapel Hill, NC",4.5,4,3.5,3.3,6.1,3.1
"East Stroudsburg, PA",6.2,6,5.5,5.5,11.5,6.9
"Eau Claire, WI",3.6,3.1,2.9,3.3,5.8,2.8
"El Centro, CA",24.2,19.7,18.8,20.9,22.5,18.1
"El Paso, TX",5,4.7,4.2,3.8,8.3,5.4
"Elizabethtown-Fort Knox, KY",4.6,4.6,4.1,4.1,7.1,4
"Elkhart-Goshen, IN",3.4,2.5,2.5,3,7.5,2.4
"Elmira, NY",5.8,5.5,4.6,4,8.8,4.7
"Enid, OK",4.2,3.7,2.9,2.8,5.5,1.8
"Erie, PA",6.4,5.8,4.9,4.7,9.8,6
"Eugene-Springfield, OR",5,4.4,4.3,4,7.9,4.5
"Evansville, IN-KY",4.1,3.3,3.1,3,6.5,3.5
"Fairbanks, AK",5.6,5.7,5.2,4.7,6.4,4.3
"Fargo, ND-MN",2.6,2.4,2.4,2.2,4.4,2
"Farmington, NM",8.9,7.5,5.8,5.9,10,6.9
"Fayetteville, NC",6.4,5.8,5.3,4.9,9.4,5.5
"Fayetteville-Springdale-Rogers, AR",2.9,2.8,2.8,2.6,4.5,2.2
"Flagstaff, AZ",6.1,5.6,5.5,5.8,9.7,5.1
"Flint, MI",5.8,5.7,5,4.9,11.2,6.5
"Florence, SC",5.5,4.7,3.7,3,5.9,3.4
"Florence-Muscle Shoals, AL",6.6,5,4.3,3.5,5.9,3
"Fond du Lac, WI",3.4,2.8,2.7,2.9,5.9,2.7
"Fort Collins, CO",2.7,2.3,2.6,2.3,6.3,3.9
"Fort Smith, AR-OK",4.6,4.1,3.8,3.5,6.1,2.7
"Fort Wayne, IN",4.1,3.2,3.1,3,7.4,3.4
"Fresno, CA",9.5,8.6,7.6,7.4,11.3,7.8
"Gadsden, AL",5.9,4.7,4.1,3.4,7.7,3.5
"Gainesville, FL",4.4,3.9,3.4,3.1,5.3,3.5
"Gainesville, GA",4.6,3.9,3.3,2.9,4.7,1.7
"Gettysburg, PA",3.9,3.7,3.4,3.4,6.9,3.5
"Glens Falls, NY",5.1,5,4.4,4.2,7.8,3.9
"Goldsboro, NC",5.8,5,4.4,4,6.5,4
"Grand Forks, ND-MN",3,2.8,2.6,2.6,4.9,2.4
"Grand Island, NE",3.5,3.2,3.1,3.4,5.3,1.4
"Grand Junction, CO",5.1,3.7,3.8,3.3,7.5,4.8
"Grand Rapids-Kentwood, MI",3.6,3.5,3,2.9,7.4,3.6
"Grants Pass, OR",6.4,5.3,5.4,4.9,7.9,4.8
"Great Falls, MT",4.1,3.8,3.6,3.5,5.9,2
"Greeley, CO",3.3,2.5,2.8,2.5,7,4.8
"Green Bay, WI",3.6,3,2.8,3.1,6,3
"Greensboro-High Point, NC",5.2,4.7,4.2,4,8.3,4.3
"Greenville, NC",5.6,4.9,4.4,4.1,6.8,3.9
"Greenville-Anderson, SC",4.4,3.8,3,2.5,5.8,2.8
"Gulfport-Biloxi, MS",6.1,5.5,5.2,5.7,9.4,4.8
"Hagerstown-Martinsburg, MD-WV",4.5,4.2,4.2,3.7,6.5,3.9
"Hammond, LA",6.8,5.7,5.4,5.3,9.5,6
"Hanford-Corcoran, CA",10,9,7.9,8,11.6,8
"Harrisburg-Carlisle, PA",4.4,4.3,3.8,3.8,7.7,4.6
"Harrisonburg, VA",3.9,3.7,2.9,2.6,5.3,2.7
"Hartford-East Hartford-Middletown, CT",4.9,4.4,3.9,3.6,7.7,5.4
"Hattiesburg, MS",5.4,4.6,4.3,5,7.2,4.3
"Hickory-Lenoir-Morganton, NC",4.8,4.2,3.7,3.6,7.7,3.5
"Hilton Head Island-Bluffton, SC",4.6,4,3.2,2.6,5.4,2.6
"Hinesville, GA",5.8,5.1,4.3,3.8,5.8,2.5
"Homosassa Springs, FL",6.8,5.9,5.3,5.1,8.4,5.3
"Hot Springs, AR",4.3,4.1,4,3.7,8,3.9
"Houma-Thibodaux, LA",6.7,5.5,4.8,4.4,7.1,5.8
"Houston-The Woodlands-Sugar Land, TX",5.3,5,4.4,3.8,8.6,5.5
"Huntington-Ashland, WV-KY-OH",6.2,5.6,5.4,5,8.2,3.8
"Huntsville, AL",5.2,4,3.5,2.6,4.6,2.3
"Idaho Falls, ID",3.1,2.6,2.4,2.3,3.9,1.8
"Indianapolis-Carmel-Anderson, IN",4,3.3,3.2,2.9,6.6,3.4
"Iowa City, IA",2.6,2.5,2,2.1,4.7,2.6
"Ithaca, NY",4.2,4.3,3.6,3.5,6.2,3.5
"Jackson, MI",4.9,4.6,4,3.7,9,4.7
"Jackson, MS",5,4.5,4.3,4.9,7.5,4.3
"Jackson, TN",4.9,4,3.8,3.5,7.1,3.5
"Jacksonville, FL",4.7,4.1,3.5,3.3,6.2,3.7
"Jacksonville, NC",5.5,5.3,4.9,4.5,7.2,4
"Janesville-Beloit, WI",4.3,3.7,3.3,3.7,7.1,4.2
"Jefferson City, MO",3.8,3.2,2.7,2.7,4.3,1.9
"Johnson City, TN",5.2,4.1,3.8,3.7,6.7,3.3
"Johnstown, PA",6.7,6.1,5.4,5.4,9.5,6
"Jonesboro, AR",3.4,3.2,3.1,2.9,5.4,2.6
"Joplin, MO",4.2,3.5,2.9,3.1,5.7,2.3
"Kahului-Wailuku-Lahaina, HI",3,2.3,2.3,2.4,17.8,8.1
"Kalamazoo-Portage, MI",4.5,4.3,3.7,3.5,7.4,4.1
"Kankakee, IL",6.5,5.5,5.4,4.8,8.8,5.5
"Kansas City, MO-KS",4.3,3.8,3.4,3.3,6.2,3.5
"Kennewick-Richland, WA",6.5,5.7,5.4,5.6,8.4,3.9
"Killeen-Temple, TX",4.5,4.3,4.2,3.8,6.8,5.1
"Kingsport-Bristol, TN-VA",5,4.1,3.6,3.6,6.9,3.4
"Kingston, NY",4.5,4.5,3.9,3.6,8,4.2
"Knoxville, TN",4.5,3.5,3.3,3.2,6.2,2.9
"Kokomo, IN",4.6,3.8,4,3.9,10.9,6.7
"La Crosse-Onalaska, WI-MN",3.6,3,2.7,2.9,5.3,2.5
"Lafayette, LA",7.1,5.6,4.9,4.6,7.6,4.2
"Lafayette-West Lafayette, IN",4,3.2,3.1,2.9,6.2,3
"Lake Charles, LA",4.8,3.9,3.8,3.9,8.9,4.7
"Lake Havasu City-Kingman, AZ",6.7,6,5.7,5.9,10,5.1
"Lakeland-Winter Haven, FL",5.6,4.8,4.2,3.9,9,5
"Lancaster, PA",4.1,3.9,3.5,3.5,7.5,4.2
"Lansing-East Lansing, MI",4.2,4.1,3.5,3.3,7.4,5
"Laredo, TX",4.9,4.2,3.8,3.7,8.5,5.4
"Las Cruces, NM",7.2,6.7,5.7,5.9,8.3,5.7
"Las Vegas-Henderson-Paradise, NV",5.9,5.2,4.6,4.1,14.7,7.4
"Lawrence, KS",3.5,3.2,3,2.9,6.1,3.3
"Lawton, OK",4.5,4.2,3.7,3.4,6.7,2.2
"Lebanon, PA",4.4,4.2,3.9,4,7.9,4.6
"Lewiston, ID-WA",3.7,3.2,3.2,3.1,5,6.1
"Lewiston-Auburn, ME",3.6,3.2,3,2.7,5.4,4.4
"Lexington-Fayette, KY",3.7,3.6,3.3,3.3,5.8,3.3
"Lima, OH",5,5,4.5,4.1,8.5,6.1
"Lincoln, NE",2.8,2.7,2.6,2.7,4.2,1.3
"Little Rock-North Little Rock-Conway, AR",3.5,3.4,3.3,3.2,6.4,3.3
"Logan, UT-ID",3,2.6,2.5,2.1,3,1.2
"Longview, TX",6.1,5.2,4.1,3.7,8,5.5
"Longview, WA",7.1,6,5.8,5.9,9.3,4.4
"Los Angeles-Long Beach-Anaheim, CA",5,4.5,4.2,4.2,11.8,7.4
"Louisville/Jefferson County, KY-IN",4.2,4,3.7,3.7,6.7,3.4
"Lubbock, TX",3.4,3.2,3.1,2.9,5.7,3.9
"Lynchburg, VA",4.5,4.3,3.4,3.1,6,3.4
"Macon-Bibb County, GA",5.9,5.2,4.4,3.9,6.7,2.7
"Madera, CA",9.3,8.2,7.1,7,10.8,7.3
"Madison, WI",2.9,2.5,2.3,2.5,4.9,2.6
"Manchester-Nashua, NH",2.8,2.7,2.5,2.5,6.7,2.3
"Manhattan, KS",3.4,3,2.8,2.8,4.8,3
"Mankato, MN",3.1,2.8,2.5,2.6,5.2,2.4
"Mansfield, OH",5.6,5.4,4.9,4.6,9,5.4
"McAllen-Edinburg-Mission, TX",7.8,7.5,6.6,6.3,11.6,8
"Medford, OR",5.6,4.7,4.6,4.3,7.8,4.2
"Memphis, TN-MS-AR",5.2,4.3,4.2,4.2,8.8,4.9
"Merced, CA",10.6,9.4,8.5,8.2,12.2,8.2
"Miami-Fort Lauderdale-Pompano Beach, FL",5,4.3,3.6,3,8.2,4.9
"Michigan City-La Porte, IN",5.8,4.4,4.3,4.2,9.5,4.6
"Midland, MI",4.8,4.6,4,3.7,7.5,3.8
"Midland, TX",4.4,3,2.1,2.1,8,4.9
"Milwaukee-Waukesha, WI",4.2,3.5,3.2,3.5,7.1,4.1
"Minneapolis-St. Paul-Bloomington, MN-WI",3.5,3.2,2.8,2.9,6.4,3
"Missoula, MT",3.9,3.7,3.4,3.3,6.3,1.9
"Mobile, AL",6.6,5.4,4.7,3.7,7.9,4.1
"Modesto, CA",8.6,7.5,6.5,6.2,10.7,6.9
"Monroe, LA",6.1,5.3,5.1,5.2,7.4,4.1
"Monroe, MI",4.4,4.7,4.2,3.8,8.9,5.3
"Montgomery, AL",5.5,4.3,3.9,3,6.9,3.7
"Morgantown, WV",4.7,4,4.3,3.9,6.6,2.8
"Morristown, TN",5.2,4,3.8,3.8,7.3,3.4
"Mount Vernon-Anacortes, WA",6.4,5.4,5.1,5.4,9.8,4.1
"Muncie, IN",5.1,4.2,3.9,3.8,7.3,3.8
"Muskegon, MI",5.5,5.3,4.6,4.2,11.4,6.2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",5.9,5.1,4.5,4,8.7,4.2
"Napa, CA",4.3,3.7,3,2.9,8.7,4.6
"Naples-Marco Island, FL",4.7,4.2,3.5,3.3,6.9,3.6
"Nashville-Davidson--Murfreesboro--Franklin, TN",3.8,2.9,2.7,2.6,6.9,3
"New Bern, NC",5.2,4.6,4.3,3.9,6.4,3.7
"New Haven-Milford, CT",4.8,4.4,3.8,3.5,7.3,5.1
"New Orleans-Metairie, LA",5.5,4.8,4.6,4.3,9.7,6.1
"New York-Newark-Jersey City, NY-NJ-PA",4.8,4.4,3.9,3.6,10.4,6.8
"Niles, MI",5,4.8,4.3,3.9,8.6,4.5
"North Port-Sarasota-Bradenton, FL",4.6,4,3.5,3.3,6.8,3.7
"Norwich-New London, CT",5,4.3,3.8,3.5,9.9,5.8
"Ocala, FL",5.9,5.1,4.4,4,7,4.7
"Ocean City, NJ",9.8,9,8.2,6.9,13.8,6.3
"Odessa, TX",6.4,4.1,2.7,2.7,11,7.1
"Ogden-Clearfield, UT",3.3,3.2,3,2.6,4.4,1.5
"Oklahoma City, OK",4,3.6,3,2.9,6.1,1.9
"Olympia-Lacey-Tumwater, WA",5.6,4.9,4.7,4.8,8.3,3.5
"Omaha-Council Bluffs, NE-IA",3.2,3,2.9,3,4.8,1.7
"Orlando-Kissimmee-Sanford, FL",4.5,3.9,3.4,3.2,10.2,4.5
"Oshkosh-Neenah, WI",3.5,3,2.8,3,5.4,2.8
"Owensboro, KY",4.5,4.4,4,3.8,6.1,3.7
"Oxnard-Thousand Oaks-Ventura, CA",5.2,4.5,3.8,3.7,8.6,5.3
"Palm Bay-Melbourne-Titusville, FL",5.2,4.4,3.6,3.4,6.6,3.8
"Panama City, FL",4.8,4.2,4.2,3.9,6.1,3.6
"Parkersburg-Vienna, WV",5.9,5.7,5.5,5.3,9,3.4
"Pensacola-Ferry Pass-Brent, FL",4.8,4.1,3.6,3.3,6.1,3.9
"Peoria, IL",6.6,5.5,5.1,4.5,9,5.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5,4.8,4.3,4.1,9.2,5.7
"Phoenix-Mesa-Chandler, AZ",4.7,4.3,4.2,4.2,7.4,3.8
"Pine Bluff, AR",5.4,5,4.9,5.2,7.6,4.7
"Pittsburgh, PA",5.6,5.1,4.4,4.4,9.2,5.4
"Pittsfield, MA",4.7,4.6,4.3,3.9,9.8,6.3
"Pocatello, ID",3.5,3,2.7,2.7,4.9,2.1
"Port St. Lucie, FL",5.5,4.9,4.2,3.9,7.2,4.2
"Portland-South Portland, ME",3,2.7,2.5,2.2,5.3,3.5
"Portland-Vancouver-Hillsboro, OR-WA",4.5,3.8,3.8,3.5,7.8,3.9
"Prescott Valley-Prescott, AZ",5,4.6,4.4,4.6,7.5,3.5
"Providence-Warwick, RI-MA",5.1,4.5,4.1,3.6,9.5,4.6
"Provo-Orem, UT",3,2.8,2.7,2.3,3.7,1.4
"Pueblo, CO",4.6,4,4.5,3.9,8.2,7
"Punta Gorda, FL",5.4,4.8,4.1,3.9,7.3,4.3
"Racine, WI",4.8,4,3.6,4,7.3,4.3
"Raleigh-Cary, NC",4.4,4,3.5,3.4,6.4,3.1
"Rapid City, SD",3.2,3.2,3,3.2,5.3,2.3
"Reading, PA",4.9,4.7,4.3,4.4,9.5,5.7
"Redding, CA",7,5.8,5,4.8,8.7,5.6
"Reno, NV",5.1,4.2,3.5,3.2,7.8,3.5
"Richmond, VA",4.1,3.9,3.1,2.8,6.7,3.6
"Riverside-San Bernardino-Ontario, CA",6,5.1,4.3,4.1,9.7,6.6
"Roanoke, VA",3.9,3.7,2.9,2.7,6,3.2
"Rochester, MN",3.2,2.9,2.6,2.7,5.4,2.3
"Rochester, NY",4.8,4.9,4.2,4,8.2,4.4
"Rockford, IL",6.6,6.5,5.6,5.4,11.4,7.7
"Rocky Mount, NC",7.3,6.6,5.8,5,9.1,5.7
"Rome, GA",6.1,5.3,4.4,4,6.3,2.4
"Sacramento-Roseville-Folsom, CA",5.3,4.6,3.8,3.7,8.7,5.5
"Saginaw, MI",5.4,5.4,4.8,4.7,9.9,5.9
"Salem, OR",5,4.3,4.2,3.9,6.9,3.9
"Salinas, CA",7.7,7.2,6.4,6.4,10.8,5.7
"Salisbury, MD-DE",5.6,5.4,4.8,4.5,8,5.1
"Salt Lake City, UT",3.1,3,2.8,2.5,5.1,1.7
"San Angelo, TX",4.5,3.7,3.2,3,6.3,4.4
"San Antonio-New Braunfels, TX",3.8,3.5,3.3,3.1,7.3,4.5
"San Diego-Chula Vista-Carlsbad, CA",4.7,4,3.4,3.3,9.2,5.6
"San Francisco-Oakland-Berkeley, CA",3.8,3.4,2.8,2.7,8.1,4.7
"San Jose-Sunnyvale-Santa Clara, CA",3.9,3.3,2.7,2.6,7.1,4
"San Luis Obispo-Paso Robles, CA",4.3,3.6,3,2.9,7.7,4.6
"Santa Cruz-Watsonville, CA",7,5.7,5,5,9.5,5.4
"Santa Fe, NM",5.3,5,4.1,4.2,8.3,5.4
"Santa Maria-Santa Barbara, CA",5.1,4.6,4,3.7,8,4.7
"Santa Rosa-Petaluma, CA",4,3.4,2.8,2.7,7.9,4.5
"Savannah, GA",5.2,4.4,3.7,3.3,7,2.4
"Scranton--Wilkes-Barre, PA",6,5.7,5.2,5.4,10.3,6.4
"Seattle-Tacoma-Bellevue, WA",4.3,4,3.7,3.1,8.1,4.4
"Sebastian-Vero Beach, FL",6.1,5.1,4.4,4,7.4,4.6
"Sebring-Avon Park, FL",6.6,5.7,4.9,4.8,7.7,5.7
"Sheboygan, WI",3.3,2.8,2.5,2.7,5.7,2.8
"Sherman-Denison, TX",3.9,3.6,3.3,3.1,5.9,4.1
"Shreveport-Bossier City, LA",6.4,5.5,5.1,4.9,8,4.6
"Sierra Vista-Douglas, AZ",6.3,5.6,5.6,5.8,7,4.2
"Sioux City, IA-NE-SD",3.4,3.2,2.6,2.8,4.9,2.5
"Sioux Falls, SD",2.5,2.6,2.4,2.6,4.3,1.9
"South Bend-Mishawaka, IN-MI",4.5,3.7,3.6,3.6,8.4,3.9
"Spartanburg, SC",4.7,4,3.1,2.5,6.7,3.3
"Spokane-Spokane Valley, WA",6.2,5.5,5.3,5.4,8.8,3.6
"Springfield, IL",5,4.4,4.4,3.9,8.1,4.8
"Springfield, MA",4.9,4.6,4.2,3.8,9.1,6.1
"Springfield, MO",4,3.3,2.7,2.9,5.2,2
"Springfield, OH",5.3,4.8,4.6,4.3,8.1,5
"St. Cloud, MN",3.9,3.5,3.2,3.3,5.9,2.9
"St. George, UT",3.6,3.4,3.2,2.9,5.3,1.7
"St. Joseph, MO-KS",4,3.5,3,3,4.7,2.3
"St. Louis, MO-IL",4.6,3.8,3.4,3.2,6.7,3.3
"State College, PA",4.1,3.8,3.4,3.4,5.8,3.8
"Staunton, VA",3.7,3.5,2.8,2.5,5.3,2.8
"Stockton, CA",8.2,7,6.1,6,11.3,7.5
"Sumter, SC",5.8,5.1,4,3.2,6.8,3.8
"Syracuse, NY",5,5.1,4.3,4.1,8.4,4.4
"Tallahassee, FL",4.7,4.1,3.6,3.3,5.8,4.1
"Tampa-St. Petersburg-Clearwater, FL",4.6,4.1,3.6,3.4,7.2,3.9
"Terre Haute, IN",5.4,4.2,4.4,4.3,7.6,4
"Texarkana, TX-AR",4.6,4.6,4.9,4.3,7.2,4.6
"The Villages, FL",7.2,6.2,5.2,4.9,7.9,5.6
"Toledo, OH",4.9,5.5,4.9,4.4,9.4,5.3
"Topeka, KS",4,3.6,3.4,3.3,5.7,3.3
"Trenton-Princeton, NJ",4.3,4,3.5,3,7.4,5
"Tucson, AZ",5,4.6,4.4,4.5,7.7,4.3
"Tulsa, OK",4.8,4.2,3.3,3.1,6.4,2.1
"Tuscaloosa, AL",5.8,4.5,3.8,2.8,6.7,3.2
"Tyler, TX",4.5,4.1,3.7,3.3,6.8,4.4
"Urban Honolulu, HI",2.7,2.1,2.3,2.3,10.2,5.9
"Utica-Rome, NY",5.1,5.1,4.5,4.2,8.1,4.6
"Valdosta, GA",5.3,4.7,4.1,3.6,5.8,2.4
"Vallejo, CA",5.5,4.8,4,3.8,9.5,6.3
"Victoria, TX",5.5,4.9,3.9,3.5,8.2,5.7
"Vineland-Bridgeton, NJ",7.4,6.8,6.2,5.3,10.8,7.5
"Virginia Beach-Norfolk-Newport News, VA-NC",4.5,4.1,3.2,3,7.1,3.8
"Visalia, CA",11.2,10.5,9.8,9.9,13.2,9.3
"Waco, TX",4,3.9,3.6,3.3,6.1,4.3
"Walla Walla, WA",5.4,4.9,4.7,4.9,6.9,3
"Warner Robins, GA",5.7,5,4.3,3.6,5.3,2.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV",3.8,3.7,3.3,3,6.5,4.2
"Waterloo-Cedar Falls, IA",4.3,3.5,2.7,3.1,5.7,3
"Watertown-Fort Drum, NY",6.3,6.5,5.6,5.3,8.7,4.3
"Wausau-Weston, WI",3.5,2.9,2.7,2.8,5,2.6
"Weirton-Steubenville, WV-OH",7.8,6.8,6.1,5.6,9.9,5.1
"Wenatchee, WA",6,5,4.7,5.1,8.4,3.3
"Wheeling, WV-OH",7,5.7,5.2,5.5,9.5,4.3
"Wichita Falls, TX",4.4,3.7,3.4,3.2,6.5,4.4
"Wichita, KS",4.5,4.1,3.6,3.4,8.3,4.6
"Williamsport, PA",6.6,5.7,5,4.9,8.8,5.5
"Wilmington, NC",4.8,4.2,4,3.6,7.1,3.2
"Winchester, VA-WV",3.7,3.4,2.9,2.6,5,2.4
"Winston-Salem, NC",4.8,4.3,3.8,3.6,7.2,3.6
"Worcester, MA-CT",4.3,4,3.7,3.3,8.5,5.4
"Yakima, WA",7.4,6.7,6.2,7,9.7,4
"York-Hanover, PA",4.6,4.4,4,3.9,8,4.6
"Youngstown-Warren-Boardman, OH-PA",6.5,6.7,5.8,5.8,10.2,5.9
"Yuba City, CA",9.3,8.3,7.2,7,10.8,7.2
"Yuma, AZ",19.1,17.2,17,16.8,17.1,14.8
